matrix,row,col
S,2436,3357
I,J,V
1593.0,177.0,1.0
1732.0,177.0,-1.0
1411.0,178.0,1.0
1418.0,178.0,-1.0
1523.0,178.0,1.0
1598.0,178.0,1.0
1734.0,178.0,-1.0
1411.0,179.0,1.0
1418.0,179.0,-1.0
1526.0,179.0,1.0
1599.0,179.0,1.0
1737.0,179.0,-1.0
1411.0,180.0,1.0
1418.0,180.0,-1.0
1530.0,180.0,1.0
1601.0,180.0,1.0
1738.0,180.0,-1.0
1411.0,181.0,1.0
1418.0,181.0,-1.0
1534.0,181.0,1.0
1605.0,181.0,1.0
1743.0,181.0,-1.0
1411.0,182.0,1.0
1418.0,182.0,-1.0
1537.0,182.0,1.0
1607.0,182.0,1.0
1744.0,182.0,-1.0
1411.0,183.0,1.0
1418.0,183.0,-1.0
1543.0,183.0,1.0
1611.0,183.0,1.0
1746.0,183.0,-1.0
1383.0,184.0,1.0
1520.0,184.0,-2.0
1732.0,184.0,1.0
1383.0,185.0,1.0
1523.0,185.0,-2.0
1734.0,185.0,1.0
1383.0,186.0,1.0
1526.0,186.0,-2.0
1737.0,186.0,1.0
1383.0,187.0,1.0
1530.0,187.0,-2.0
1738.0,187.0,1.0
1383.0,188.0,1.0
1534.0,188.0,-2.0
1743.0,188.0,1.0
1383.0,189.0,1.0
1537.0,189.0,-2.0
1744.0,189.0,1.0
1383.0,190.0,1.0
1543.0,190.0,-2.0
1746.0,190.0,1.0
343.0,191.0,2.0
378.0,191.0,-1.0
1407.0,191.0,-2.0
1411.0,191.0,1.0
919.0,192.0,-1.0
1407.0,192.0,1.0
348.0,193.0,-1.0
386.0,193.0,-1.0
392.0,193.0,1.0
748.0,193.0,1.0
922.0,194.0,-1.0
1409.0,194.0,1.0
924.0,195.0,-1.0
1414.0,195.0,1.0
349.0,196.0,1.0
1414.0,196.0,-1.0
40.0,197.0,1.0
257.0,197.0,-1.0
355.0,197.0,-1.0
378.0,197.0,1.0
386.0,197.0,-1.0
626.0,197.0,1.0
1416.0,197.0,1.0
355.0,198.0,-1.0
378.0,198.0,1.0
1411.0,198.0,-1.0
1416.0,198.0,1.0
927.0,199.0,-1.0
1416.0,199.0,1.0
355.0,200.0,1.0
1416.0,200.0,-1.0
40.0,201.0,1.0
257.0,201.0,-1.0
357.0,201.0,-1.0
378.0,201.0,1.0
386.0,201.0,-1.0
626.0,201.0,1.0
1417.0,201.0,1.0
929.0,202.0,1.0
1417.0,202.0,-1.0
360.0,203.0,1.0
361.0,203.0,-1.0
370.0,203.0,-2.0
374.0,203.0,2.0
376.0,203.0,2.0
378.0,203.0,2.0
370.0,204.0,-2.0
374.0,204.0,2.0
376.0,204.0,2.0
378.0,204.0,2.0
411.0,204.0,1.0
413.0,204.0,-1.0
370.0,205.0,-2.0
374.0,205.0,2.0
376.0,205.0,2.0
378.0,205.0,2.0
749.0,205.0,-1.0
759.0,205.0,1.0
378.0,206.0,1.0
935.0,206.0,1.0
1411.0,206.0,-1.0
1423.0,206.0,-1.0
374.0,207.0,-1.0
378.0,207.0,1.0
1411.0,207.0,-1.0
1423.0,207.0,1.0
40.0,208.0,1.0
257.0,208.0,-1.0
370.0,208.0,1.0
378.0,208.0,1.0
386.0,208.0,-1.0
626.0,208.0,1.0
1421.0,208.0,-1.0
932.0,209.0,1.0
935.0,209.0,-1.0
1041.0,209.0,-1.0
378.0,210.0,1.0
932.0,210.0,-1.0
1411.0,210.0,-1.0
1421.0,210.0,1.0
349.0,211.0,2.0
378.0,211.0,-2.0
380.0,211.0,-1.0
386.0,211.0,2.0
660.0,211.0,1.0
711.0,211.0,-1.0
124.0,212.0,-2.0
349.0,212.0,2.0
380.0,212.0,-1.0
430.0,212.0,2.0
610.0,212.0,2.0
660.0,212.0,1.0
263.0,213.0,-1.0
381.0,213.0,-1.0
388.0,213.0,1.0
490.0,213.0,1.0
40.0,214.0,1.0
257.0,214.0,-1.0
351.0,214.0,-1.0
381.0,214.0,-1.0
388.0,214.0,1.0
626.0,214.0,1.0
387.0,215.0,1.0
388.0,215.0,-1.0
381.0,216.0,-1.0
388.0,216.0,1.0
394.0,216.0,1.0
398.0,216.0,-1.0
386.0,217.0,1.0
388.0,217.0,-1.0
398.0,217.0,1.0
40.0,218.0,1.0
257.0,218.0,-1.0
351.0,218.0,-1.0
385.0,218.0,-1.0
387.0,218.0,1.0
626.0,218.0,1.0
40.0,219.0,1.0
257.0,219.0,-1.0
378.0,219.0,1.0
385.0,219.0,1.0
386.0,219.0,-1.0
626.0,219.0,1.0
1428.0,219.0,-1.0
378.0,220.0,1.0
385.0,220.0,1.0
1411.0,220.0,-1.0
1428.0,220.0,-1.0
40.0,221.0,1.0
257.0,221.0,-1.0
378.0,221.0,1.0
381.0,221.0,1.0
386.0,221.0,-1.0
626.0,221.0,1.0
1427.0,221.0,-1.0
378.0,222.0,1.0
381.0,222.0,1.0
1411.0,222.0,-1.0
1427.0,222.0,-1.0
381.0,223.0,1.0
490.0,223.0,-1.0
1427.0,223.0,-1.0
1608.0,223.0,1.0
381.0,224.0,1.0
385.0,224.0,-1.0
1427.0,224.0,-1.0
1428.0,224.0,1.0
936.0,225.0,-1.0
1427.0,225.0,1.0
277.0,226.0,-1.0
331.0,226.0,1.0
351.0,226.0,1.0
378.0,226.0,1.0
386.0,226.0,-1.0
718.0,226.0,-1.0
941.0,227.0,-1.0
1430.0,227.0,1.0
40.0,228.0,1.0
257.0,228.0,-1.0
351.0,228.0,-1.0
394.0,228.0,-1.0
398.0,228.0,1.0
626.0,228.0,1.0
40.0,229.0,1.0
257.0,229.0,-1.0
378.0,229.0,1.0
386.0,229.0,-1.0
394.0,229.0,1.0
626.0,229.0,1.0
1435.0,229.0,-1.0
378.0,230.0,1.0
394.0,230.0,1.0
1411.0,230.0,-1.0
1435.0,230.0,-1.0
40.0,231.0,1.0
257.0,231.0,-1.0
378.0,231.0,2.0
386.0,231.0,-1.0
399.0,231.0,1.0
533.0,231.0,-1.0
541.0,231.0,1.0
626.0,231.0,1.0
886.0,231.0,-1.0
1411.0,232.0,-4.0
1418.0,232.0,2.0
1437.0,232.0,-4.0
1441.0,232.0,4.0
1570.0,232.0,-1.0
40.0,233.0,1.0
257.0,233.0,-1.0
378.0,233.0,1.0
386.0,233.0,-1.0
401.0,233.0,-1.0
626.0,233.0,1.0
1437.0,233.0,1.0
922.0,234.0,-1.0
332.0,235.0,1.0
378.0,235.0,-1.0
386.0,235.0,-1.0
469.0,235.0,-1.0
687.0,235.0,1.0
378.0,236.0,1.0
469.0,236.0,1.0
1411.0,236.0,-1.0
1471.0,236.0,-1.0
980.0,237.0,-1.0
1471.0,237.0,1.0
981.0,238.0,-1.0
1473.0,238.0,1.0
40.0,239.0,1.0
159.0,239.0,-1.0
161.0,239.0,1.0
257.0,239.0,-1.0
378.0,239.0,1.0
978.0,240.0,-1.0
1354.0,240.0,1.0
40.0,241.0,1.0
153.0,241.0,1.0
155.0,241.0,-1.0
257.0,241.0,-1.0
378.0,241.0,1.0
147.0,242.0,1.0
340.0,242.0,-1.0
386.0,242.0,-1.0
564.0,242.0,-1.0
626.0,242.0,1.0
40.0,243.0,1.0
257.0,243.0,-1.0
483.0,243.0,1.0
485.0,243.0,-1.0
982.0,244.0,-1.0
1475.0,244.0,1.0
378.0,245.0,1.0
486.0,245.0,1.0
1411.0,245.0,-1.0
1479.0,245.0,-1.0
985.0,246.0,-1.0
1479.0,246.0,1.0
77.0,247.0,-1.0
84.0,247.0,1.0
386.0,247.0,1.0
80.0,248.0,-1.0
85.0,248.0,1.0
386.0,248.0,1.0
987.0,249.0,-1.0
1483.0,249.0,1.0
493.0,250.0,1.0
1483.0,250.0,-1.0
63.0,251.0,-1.0
65.0,251.0,1.0
378.0,251.0,1.0
676.0,251.0,-1.0
678.0,251.0,1.0
65.0,252.0,-1.0
69.0,252.0,1.0
257.0,252.0,-1.0
378.0,252.0,-1.0
653.0,252.0,1.0
75.0,253.0,-1.0
378.0,253.0,-1.0
680.0,253.0,1.0
684.0,253.0,-1.0
726.0,253.0,1.0
75.0,254.0,1.0
246.0,254.0,-1.0
378.0,254.0,1.0
386.0,254.0,2.0
734.0,254.0,-1.0
378.0,255.0,-1.0
499.0,255.0,-1.0
680.0,255.0,1.0
684.0,255.0,-1.0
732.0,255.0,1.0
40.0,256.0,1.0
257.0,256.0,-1.0
378.0,256.0,1.0
499.0,256.0,1.0
514.0,256.0,-1.0
541.0,256.0,-1.0
626.0,256.0,1.0
173.0,257.0,1.0
349.0,257.0,1.0
378.0,257.0,-1.0
504.0,257.0,-1.0
653.0,257.0,1.0
740.0,257.0,-1.0
223.0,258.0,1.0
494.0,258.0,1.0
505.0,258.0,-1.0
508.0,259.0,-1.0
735.0,259.0,-1.0
737.0,259.0,1.0
755.0,259.0,1.0
508.0,260.0,-1.0
650.0,260.0,1.0
654.0,260.0,-1.0
755.0,260.0,1.0
284.0,261.0,1.0
378.0,261.0,1.0
